rna-XM_067468897.1	rna-XM_067468897.1	1431
rna-XM_067469817.1	rna-XM_067469817.1	1275
rna-XM_067469875.1	rna-XM_067469875.1	1206
rna-XM_067463183.1	rna-XM_067463183.1	1347
rna-XM_060754827.2	rna-XM_060754827.2	1428
rna-XM_067463184.1	rna-XM_067463184.1	1158
rna-XM_067469162.1	rna-XM_067469162.1	1782
rna-XM_067469014.1	rna-XM_067469014.1	2133
rna-XM_067469043.1	rna-XM_067469043.1	1983
rna-XM_067469074.1	rna-XM_067469074.1	1983
rna-XM_067469340.1	rna-XM_067469340.1	1671
rna-XM_067469223.1	rna-XM_067469223.1	1755
rna-XM_067469618.1	rna-XM_067469618.1	1461
rna-XM_060754814.2	rna-XM_060754814.2	1881
rna-XM_067470190.1	rna-XM_067470190.1	6795
rna-XM_067470113.1	rna-XM_067470113.1	705
rna-XM_067469112.1	rna-XM_067469112.1	1893
rna-XM_067469771.1	rna-XM_067469771.1	1281
rna-XM_067469838.1	rna-XM_067469838.1	1248
rna-XM_067463185.1	rna-XM_067463185.1	489
rna-XM_060754826.2	rna-XM_060754826.2	1338
rna-XM_067469904.1	rna-XM_067469904.1	1197
rna-XM_067470158.1	rna-XM_067470158.1	540
rna-XM_067463186.1	rna-XM_067463186.1	726
rna-XM_060754831.2	rna-XM_060754831.2	1416
rna-XM_060754844.2	rna-XM_060754844.2	555
rna-XM_060754821.2	rna-XM_060754821.2	1566
rna-XM_067463187.1	rna-XM_067463187.1	1230
rna-XM_067468961.1	rna-XM_067468961.1	2853
rna-XM_060754818.2	rna-XM_060754818.2	1614
rna-XM_060754817.2	rna-XM_060754817.2	1461
rna-XM_067469196.1	rna-XM_067469196.1	1779
rna-XM_060754816.2	rna-XM_060754816.2	1740
rna-XM_067470004.1	rna-XM_067470004.1	1074
rna-XM_067470207.1	rna-XM_067470207.1	3993
rna-XM_067469290.1	rna-XM_067469290.1	1713
rna-XM_067469307.1	rna-XM_067469307.1	1689
rna-XM_060754846.2	rna-XM_060754846.2	5331
rna-XM_067470032.1	rna-XM_067470032.1	759
rna-XM_067470047.1	rna-XM_067470047.1	759
rna-XM_067470081.1	rna-XM_067470081.1	759
rna-XM_067469493.1	rna-XM_067469493.1	1518
rna-XM_067469986.1	rna-XM_067469986.1	1164
rna-XM_060754822.2	rna-XM_060754822.2	2337
rna-XM_067463188.1	rna-XM_067463188.1	2238
rna-XM_060754805.2	rna-XM_060754805.2	2580
rna-XM_060754797.2	rna-XM_060754797.2	603
rna-XM_067470301.1	rna-XM_067470301.1	2586
rna-XM_060754799.2	rna-XM_060754799.2	2322
rna-XM_067470361.1	rna-XM_067470361.1	1422
rna-XM_067463189.1	rna-XM_067463189.1	2547
rna-XM_067470445.1	rna-XM_067470445.1	765
rna-XM_067470386.1	rna-XM_067470386.1	900
rna-XM_067470413.1	rna-XM_067470413.1	900
rna-XM_067470517.1	rna-XM_067470517.1	2076
rna-XM_067470536.1	rna-XM_067470536.1	2076
rna-XM_060754793.2	rna-XM_060754793.2	3105
rna-XM_067470615.1	rna-XM_067470615.1	993
rna-XM_060754791.2	rna-XM_060754791.2	1233
rna-XM_067470683.1	rna-XM_067470683.1	1161
rna-XM_067470736.1	rna-XM_067470736.1	4092
rna-XM_067470761.1	rna-XM_067470761.1	4077
rna-XM_067470846.1	rna-XM_067470846.1	2103
rna-XM_067470778.1	rna-XM_067470778.1	1494
rna-XM_067470816.1	rna-XM_067470816.1	1404
rna-XM_067470891.1	rna-XM_067470891.1	2829
rna-XM_067470997.1	rna-XM_067470997.1	2796
rna-XM_067470943.1	rna-XM_067470943.1	2799
rna-XM_067471029.1	rna-XM_067471029.1	2766
rna-XM_067471390.1	rna-XM_067471390.1	1695
rna-XM_067471408.1	rna-XM_067471408.1	1554
rna-XM_060754786.2	rna-XM_060754786.2	843
rna-XM_060754785.2	rna-XM_060754785.2	843
