rna-XM_063119927.1	rna-XM_063119927.1	564
rna-XM_063127908.1	rna-XM_063127908.1	417
rna-XM_063139813.1	rna-XM_063139813.1	2439
rna-XM_063147427.1	rna-XM_063147427.1	2436
rna-XM_063121619.1	rna-XM_063121619.1	1314
rna-XM_063121608.1	rna-XM_063121608.1	1638
rna-XM_063121613.1	rna-XM_063121613.1	1494
rna-XM_063121483.1	rna-XM_063121483.1	2310
rna-XM_063121594.1	rna-XM_063121594.1	1887
rna-XM_063147560.1	rna-XM_063147560.1	3135
rna-XM_063116660.1	rna-XM_063116660.1	1383
rna-XM_063117524.1	rna-XM_063117524.1	1134
rna-XM_063121629.1	rna-XM_063121629.1	1074
rna-XM_063121560.1	rna-XM_063121560.1	2709
rna-XM_063121567.1	rna-XM_063121567.1	1116
rna-XM_063121494.1	rna-XM_063121494.1	819
rna-XM_063121651.1	rna-XM_063121651.1	867
rna-XM_063121658.1	rna-XM_063121658.1	867
rna-XM_063121577.1	rna-XM_063121577.1	2217
rna-XM_063121583.1	rna-XM_063121583.1	1986
rna-XM_063121551.1	rna-XM_063121551.1	3711
rna-XM_063121544.1	rna-XM_063121544.1	3747
rna-XM_063121640.1	rna-XM_063121640.1	879
rna-XM_063119492.1	rna-XM_063119492.1	1554
rna-XM_063118731.1	rna-XM_063118731.1	1572
rna-XM_063120346.1	rna-XM_063120346.1	1545
rna-XM_063121506.1	rna-XM_063121506.1	2736
rna-XM_063121516.1	rna-XM_063121516.1	1260
rna-XM_063121524.1	rna-XM_063121524.1	1257
rna-XM_063121600.1	rna-XM_063121600.1	2235
rna-XM_063121535.1	rna-XM_063121535.1	3531
rna-XM_063147561.1	rna-XM_063147561.1	3522
rna-XM_063121680.1	rna-XM_063121680.1	2376
rna-XM_063121690.1	rna-XM_063121690.1	2112
rna-XM_063121668.1	rna-XM_063121668.1	3351
rna-XM_063121711.1	rna-XM_063121711.1	453
rna-XM_063121717.1	rna-XM_063121717.1	450
rna-XM_063121700.1	rna-XM_063121700.1	867
rna-XM_063147562.1	rna-XM_063147562.1	3612
rna-XM_063122751.1	rna-XM_063122751.1	1380
rna-XM_063121877.1	rna-XM_063121877.1	1386
rna-XM_063123776.1	rna-XM_063123776.1	774
rna-XM_063147563.1	rna-XM_063147563.1	3819
rna-XM_063121748.1	rna-XM_063121748.1	693
rna-XM_063121726.1	rna-XM_063121726.1	798
rna-XM_063121737.1	rna-XM_063121737.1	753
rna-XM_063121776.1	rna-XM_063121776.1	780
rna-XM_063121768.1	rna-XM_063121768.1	810
rna-XM_063121757.1	rna-XM_063121757.1	855
rna-XM_063125074.1	rna-XM_063125074.1	1446
rna-XM_063147564.1	rna-XM_063147564.1	705
rna-XM_063121846.1	rna-XM_063121846.1	1053
rna-XM_063121852.1	rna-XM_063121852.1	1038
rna-XM_063121860.1	rna-XM_063121860.1	1038
rna-XM_063121868.1	rna-XM_063121868.1	528
rna-XM_063121837.1	rna-XM_063121837.1	1509
rna-XM_063121896.1	rna-XM_063121896.1	804
rna-XM_063121888.1	rna-XM_063121888.1	843
rna-XM_063121801.1	rna-XM_063121801.1	2958
rna-XM_063121810.1	rna-XM_063121810.1	2955
rna-XM_063121818.1	rna-XM_063121818.1	2955
rna-XM_063121905.1	rna-XM_063121905.1	777
rna-XM_063127909.1	rna-XM_063127909.1	765
rna-XM_063127143.1	rna-XM_063127143.1	786
rna-XM_063126276.1	rna-XM_063126276.1	894
rna-XM_063147565.1	rna-XM_063147565.1	1215
rna-XM_063147566.1	rna-XM_063147566.1	888
rna-XM_063129075.1	rna-XM_063129075.1	852
rna-XM_063147567.1	rna-XM_063147567.1	996
rna-XM_063147568.1	rna-XM_063147568.1	3594
rna-XM_063121828.1	rna-XM_063121828.1	1854
rna-XM_063121923.1	rna-XM_063121923.1	408
rna-XM_063121915.1	rna-XM_063121915.1	480
rna-XM_063130300.1	rna-XM_063130300.1	795
rna-XM_063147569.1	rna-XM_063147569.1	3087
rna-XM_063147571.1	rna-XM_063147571.1	17205
rna-XM_063147572.1	rna-XM_063147572.1	1539
rna-XM_063147573.1	rna-XM_063147573.1	1899
rna-XM_063121932.1	rna-XM_063121932.1	1560
rna-XM_063121940.1	rna-XM_063121940.1	1467
rna-XM_063121993.1	rna-XM_063121993.1	951
rna-XM_063122001.1	rna-XM_063122001.1	948
rna-XM_063122022.1	rna-XM_063122022.1	801
rna-XM_063122031.1	rna-XM_063122031.1	801
rna-XM_063122011.1	rna-XM_063122011.1	948
rna-XM_063121982.1	rna-XM_063121982.1	1482
rna-XM_063121975.1	rna-XM_063121975.1	1482
rna-XM_063122045.1	rna-XM_063122045.1	438
rna-XM_063122055.1	rna-XM_063122055.1	489
rna-XM_063133562.1	rna-XM_063133562.1	450
rna-XM_063147574.1	rna-XM_063147574.1	495
rna-XM_063121958.1	rna-XM_063121958.1	1779
rna-XM_063121964.1	rna-XM_063121964.1	1575
rna-XM_063147575.1	rna-XM_063147575.1	2337
rna-XM_063121949.1	rna-XM_063121949.1	2649
rna-XM_063147576.1	rna-XM_063147576.1	1569
rna-XM_063122207.1	rna-XM_063122207.1	7602
rna-XM_063122189.1	rna-XM_063122189.1	7605
rna-XM_063122216.1	rna-XM_063122216.1	7524
rna-XM_063122200.1	rna-XM_063122200.1	7605
rna-XM_063122079.1	rna-XM_063122079.1	1575
rna-XM_063122091.1	rna-XM_063122091.1	1065
rna-XM_063122100.1	rna-XM_063122100.1	903
rna-XM_063122113.1	rna-XM_063122113.1	1764
rna-XM_063122280.1	rna-XM_063122280.1	288
rna-XM_063122240.1	rna-XM_063122240.1	1608
rna-XM_063122126.1	rna-XM_063122126.1	249
rna-XM_063122268.1	rna-XM_063122268.1	1128
rna-XM_063122139.1	rna-XM_063122139.1	1902
rna-XM_063122148.1	rna-XM_063122148.1	1899
rna-XM_063147577.1	rna-XM_063147577.1	6873
rna-XM_063122249.1	rna-XM_063122249.1	1362
rna-XM_063122256.1	rna-XM_063122256.1	1362
rna-XM_063122161.1	rna-XM_063122161.1	3024
rna-XM_063137120.1	rna-XM_063137120.1	948
rna-XM_063122176.1	rna-XM_063122176.1	5517
rna-XM_063122228.1	rna-XM_063122228.1	3939
rna-XM_063138274.1	rna-XM_063138274.1	1020
rna-XM_063147579.1	rna-XM_063147579.1	2184
rna-XM_063122327.1	rna-XM_063122327.1	3459
rna-XM_063147580.1	rna-XM_063147580.1	2433
rna-XM_063122301.1	rna-XM_063122301.1	3516
rna-XM_063122293.1	rna-XM_063122293.1	3663
rna-XM_063122314.1	rna-XM_063122314.1	1635
rna-XM_063122477.1	rna-XM_063122477.1	2037
rna-XM_063147581.1	rna-XM_063147581.1	3663
rna-XM_063122458.1	rna-XM_063122458.1	2040
rna-XM_063122465.1	rna-XM_063122465.1	2037
rna-XM_063122487.1	rna-XM_063122487.1	1914
rna-XM_063122509.1	rna-XM_063122509.1	1755
rna-XM_063122496.1	rna-XM_063122496.1	1863
rna-XM_063122522.1	rna-XM_063122522.1	1815
rna-XM_063122531.1	rna-XM_063122531.1	1740
rna-XM_063122429.1	rna-XM_063122429.1	2526
rna-XM_063122436.1	rna-XM_063122436.1	2526
rna-XM_063147582.1	rna-XM_063147582.1	1794
rna-XM_063122339.1	rna-XM_063122339.1	2118
rna-XM_063147583.1	rna-XM_063147583.1	4917
rna-XM_063139435.1	rna-XM_063139435.1	1506
rna-XM_063147584.1	rna-XM_063147584.1	1665
