# DIAMOND v2.1.12. http://github.com/bbuchfink/diamond
# Invocation: diamond blastp -d Heloderma_suspectum.chrZ-only.peptides.dmnd -q Heloderma_suspectum.chrW-only_PAR-masked.peptides.fasta.gz -o sheffermannm/blast_results/wGenes_to_all_zGenes_all_isoforms.tsv --unal 1 --max-target-seqs 5 --header
# Fields: Query ID, Subject ID, Percentage of identical matches, Alignment length, Number of mismatches, Number of gap openings, Start of alignment in query, End of alignment in query, Start of alignment in subject, End of alignment in subject, Expected value, Bit score
LOCW_00021289-mRNA-1	LOC_00019264-mRNA-1	98.0	1126	15	2	1	1123	1	1122	0.0	2125
LOCW_00021290-mRNA-1	LOC_00019330-mRNA-1	79.7	118	24	0	117	234	1	118	6.94e-62	186
LOCW_00021290-mRNA-1	LOC_00019028-mRNA-1	40.9	171	97	1	69	239	14	180	2.79e-37	128
LOCW_00021290-mRNA-1	LOC_00019303-mRNA-1	83.3	24	4	0	216	239	1	24	1.07e-05	39.7
LOCW_00021291-mRNA-1	LOC_00019239-mRNA-8	84.1	151	23	1	13	162	1	151	1.19e-85	250
LOCW_00021292-mRNA-1	LOC_00019342-mRNA-1	92.5	517	36	2	1	516	1	515	4.34e-303	824
LOCW_00021295-mRNA-1	LOC_00019212-mRNA-1	98.9	359	4	0	1	359	1	359	4.50e-258	697
LOCW_00021295-mRNA-1	LOC_00019213-mRNA-1	54.9	368	149	2	9	359	6	373	2.19e-140	399
LOCW_00021296-mRNA-1	LOC_00019218-mRNA-7	93.2	207	14	0	1	207	1	207	6.00e-126	351
LOCW_00021297-mRNA-1	LOC_00019219-mRNA-1	95.0	464	20	1	1	461	1	464	0.0	868
LOCW_00021297-mRNA-1	LOC_00019285-mRNA-4	31.6	114	64	4	17	126	2	105	1.80e-07	48.5
LOCW_00021299-mRNA-1	LOC_00019330-mRNA-1	83.9	118	19	0	19	136	1	118	1.44e-65	194
LOCW_00021299-mRNA-1	LOC_00019028-mRNA-1	42.6	188	108	0	1	188	40	227	2.97e-44	144
LOCW_00021299-mRNA-1	LOC_00019293-mRNA-1	75.0	80	20	0	122	201	19	98	2.73e-35	117
LOCW_00021299-mRNA-1	LOC_00019303-mRNA-1	73.5	83	20	1	118	200	1	81	3.38e-33	111
LOCW_00021298-mRNA-1	LOC_00019256-mRNA-1	94.2	276	15	1	1	275	1	276	1.01e-185	509
LOCW_00021300-mRNA-1	LOC_00019236-mRNA-2	95.4	583	27	0	1	583	15	597	0.0	988
LOCW_00021302-mRNA-1	LOC_00019345-mRNA-1	93.6	202	13	0	1	202	666	867	2.57e-128	380
LOCW_00021304-mRNA-1	LOC_00019337-mRNA-2	85.0	107	16	0	1	107	89	195	2.03e-59	177
LOCW_00021304-mRNA-1	LOC_00019065-mRNA-2	86.9	107	14	0	1	107	225	331	6.94e-58	177
LOCW_00021304-mRNA-1	LOC_00019064-mRNA-1	89.7	107	11	0	1	107	310	416	1.83e-57	179
LOCW_00021304-mRNA-1	LOC_00019346-mRNA-1	86.9	107	14	0	1	107	323	429	3.41e-57	178
LOCW_00021304-mRNA-1	LOC_00019223-mRNA-1	82.2	107	19	0	1	107	61	167	6.38e-57	170
LOCW_00021305-mRNA-1	LOC_00019276-mRNA-2	90.6	392	33	2	1	391	1	389	1.13e-239	666
LOCW_00021308-mRNA-1	LOC_00019266-mRNA-6	92.1	63	5	0	17	79	29	91	9.02e-37	115
LOCW_00021309-mRNA-1	LOC_00019014-mRNA-1	94.1	337	18	1	32	368	1	335	4.07e-229	636
LOCW_00021309-mRNA-1	LOC_00019013-mRNA-1	41.8	419	189	10	1	367	1	416	2.83e-71	239
LOCW_00021313-mRNA-1	LOC_00019288-mRNA-1	94.3	508	27	1	476	981	1	508	0.0	961
LOCW_00021313-mRNA-1	LOC_00019294-mRNA-1	89.6	280	20	3	768	1041	1	277	8.81e-163	476
LOCW_00021313-mRNA-1	LOC_00019268-mRNA-1	88.1	201	22	1	847	1045	1	201	1.65e-115	351
LOCW_00021313-mRNA-1	LOC_00019222-mRNA-1	89.4	142	15	0	903	1044	1	142	9.75e-83	260
LOCW_00021313-mRNA-1	LOC_00019134-mRNA-1	90.8	76	7	0	970	1045	26	101	6.30e-39	138
LOCW_00021310-mRNA-1	LOC_00019225-mRNA-1	94.6	129	6	1	101	228	78	206	4.25e-84	245
LOCW_00021312-mRNA-1	LOC_00019243-mRNA-2	90.2	173	17	0	2	174	1	173	1.19e-106	298
LOCW_00021314-mRNA-1	LOC_00019262-mRNA-7	93.5	217	14	0	1	217	1	217	4.86e-150	412
